I762	NY	2013	PRJNA279196	SAMN03702667	CP011745	SRR5070931,SRR5070953,SRR5851461,SRR5851481
I971	NY	2013	PRJNA279196	SAMN11822146		SRR9118460
I972	NY	2013	PRJNA279196	SAMN11822147		SRR9118457
I973	NY	2013	PRJNA279196	SAMN11822148		SRR9118458
I974	NY	2013	PRJNA279196	SAMN11822149		SRR9118463
I975	NY	2013	PRJNA279196	SAMN03464279	CP011242	SRR5070691,SRR5070933,SRR5851459,SRR5851474
I976	NY	2013	PRJNA279196	SAMN03854496	CP012084	SRR5070730,SRR5071079,SRR5851467
I977	NY	2013	PRJNA279196	SAMN03702671	CP011749	SRR5070837,SRR5070879,SRR5851460,SRR5851464
I978	NY	2013	PRJNA279196	SAMN03702672	CP011750	SRR5070852,SRR5071077,SRR5851462,SRR5851469
I979	NY	2013	PRJNA266616	SAMN03249376	CP010966	SRR3205795
I981	NY	2013	PRJNA279196	SAMN11822150		SRR9118464
J024	NY	2013	PRJNA279196	SAMN07352194	CP025353	SRR5829795,SRR5829863
J025	NY	2013	PRJNA279196	SAMN11822178		SRR9118301
J112	NY	2014	PRJNA279196	SAMN07352202		SRR5829812,SRR5829850
J113	NY	2014	PRJNA279196	SAMN07352203		SRR5829841,SRR5829859
J114	NY	2014	PRJNA279196	SAMN07352204		SRR5829802,SRR5829827
J115	NY	2014	PRJNA279196	SAMN03702690	CP011768	SRR5070808
J165	NY	2014	PRJNA279196	SAMN05751699	CP017158	SRR5829766,SRR5829782
J206	NY	2014	PRJNA279196	SAMN04383594	CP013903	SRR5070684,SRR5070861
J207	NY	2014	PRJNA279196	SAMN06007541	CP018038	SRR5829781,SRR5829811
J208	NY	2014	PRJNA279196	SAMN04383595	CP013904	SRR5070782,SRR5070959
J209	NY	2014	PRJNA279196	SAMN05716055	CP017120	SRR5829746,SRR5829801
J210	NY	2014	PRJNA279196	SAMN04383596	CP013905	SRR5070907,SRR5071081
J305	NY	2014	PRJNA279196	SAMN04383601	CP013865	SRR5070805,SRR5070862,SRR5742136
J306	NY	2014	PRJNA279196	SAMN06007544	CP018041	SRR5829790,SRR5829873
J308	NY	2014	PRJNA279196	SAMN05751701	CP017167	SRR5829852,SRR5829869
J309	NY	2014	PRJNA279196	SAMN07352228		SRR5829754,SRR5829794
J310	NY	2014	PRJNA279196	SAMN05751702	CP017168	SRR5829741,SRR5829866
J311	NY	2014	PRJNA279196	SAMN04383602	CP013866	SRR5070663,SRR5070683,SRR5071085,SRR5742137
J315	NY	2015	PRJNA279196	SAMN10176194	CP032980	SRR9118343
J344	NY	2015	PRJNA279196	SAMN11822222		SRR9118286
J400	NY	2015	PRJNA279196	SAMN10176207	CP032968	SRR9118471
J401	NY	2015	PRJNA279196	SAMN08395648	CP026467	SRR9006084
J402	NY	2015	PRJNA279196	SAMN08395649	CP026466	SRR9006083
J404	NY	2015	PRJNA279196	SAMN11822237		SRR9118470
J427	NY	2015	PRJNA279196	SAMN11822244		SRR9118414
J428	NY	2015	PRJNA279196	SAMN11822245		SRR9118409
J429	NY	2015	PRJNA279196	SAMN11822246		SRR9118408
J430	NY	2015	PRJNA279196	SAMN10298218	CP033413	SRR9118411
J431	NY	2015	PRJNA279196	SAMN11822247		SRR9118410
J457	NY	2015	PRJNA279196	SAMN10176226	CP032949	SRR9118383
J458	NY	2015	PRJNA279196	SAMN10176227	CP032948	SRR9118380
J459	NY	2015	PRJNA279196	SAMN10176228	CP032947	SRR9118381
J460	NY	2016	PRJNA279196	SAMN10176229	CP032946	SRR9118378
J461	NY	2016	PRJNA279196	SAMN10176230	CP032945	SRR9118379
J462	NY	2016	PRJNA279196	SAMN10176231	CP032944	SRR9118376
J463	NY	2016	PRJNA279196	SAMN11822251		SRR9118377
J468	NY	2016	PRJNA279196	SAMN11822256		SRR9118419
J473	NY	2016	PRJNA279196	SAMN07137593	CP021403	SRR9006089
J475	NY	2016	PRJNA279196	SAMN10161202	CP032733	SRR9118416
J476	NY	2016	PRJNA279196	SAMN10161203	CP032732	SRR9118272
J477	NY	2016	PRJNA279196	SAMN10161204	CP032731	SRR9118273
J478	NY	2016	PRJNA279196	SAMN11822261		SRR9118311
J481	NY	2016	PRJNA279196	SAMN11822264		SRR9118306
J486	NY	2016	PRJNA279196	SAMN11822269		SRR9118304
